公司名称,关闭时间,成立时间,产品简介,行业,地点,获投状态,存活天数,logo,行业标签,关闭原因
米聊,2021-02-19,2011-01-01,米聊是一个手机聊天通信工具及社交网络，小米公司旗下产品。,社交网络,北京,尚未获投,3702,https://cdn.itjuzi.com/images/archive/4784.png,网络电话、即时通讯、综合社交、工具软件、社交网络、事项及效率、社交、个人办公工具,业务调整
虾米音乐,2021-02-05,2007-10-01,虾米音乐是一款提供各类音乐的音频资源聚合平台，用户可以在平台上查找、收听自己喜欢的音乐内容，对于自己喜欢的音乐，也可以进行转载。此外，平台还提供将音乐设置成手机铃声、音乐电台收听等服务。2013年被阿里巴巴收购。,文娱传媒,浙江,已被收购,4876,https://cdn.itjuzi.com/images/6c6c5c5db0c5e6fa7328a4964fc0bdf7.png,网络券商、网络电台、阿里巴巴系、音乐、文化娱乐、连续获投、大公司创业,业务调整、行业竞争
悟空问答,2021-02-03,2017-01-01,悟空问答是今日头条旗下的问答产品，明星专家为你答疑解惑，个性化推荐热点讨论，打发时间利器，北京字节跳动网络技术有限公司旗下产品。,文娱传媒,北京,尚未获投,1494,https://cdn.itjuzi.com/images/3d7f20a64107a49a722b04adb6412fca.jpg,大公司新产品、问答网站、其他文娱服务、文化娱乐,业务调整
盼达用车,2021-02-01,2015-05-01,盼达用车是一家新能源汽车共享租赁平台，专注于提供分时租赁、专车租赁、企事业机构团体长租等汽车租赁服务。,汽车交通,重庆,战略投资,2103,https://cdn.itjuzi.com/images/5c5ef24338d50eac4ec3199bb50463ed.png,租车、节能环保、租赁、汽车交通、汽车后服务、交通出行、专车、新能源、充电服务、共享单车、新能源汽车、共享租赁、共享出行、分时租车、出行服务、环保产业、能源矿产、共享汽车、能源工业、能源电力、行,烧钱、行业竞争
TT直播健身-VIPFIT,2021-01-19,2018-07-01,TT直播健身（VIPFIT）是一个在线真人健身私教服务平台，根据个人身体基础和环境为用户量身定制课程方案，隶属于北京无边际信息科技有限公司。,体育运动,北京,A轮,933,https://cdn.itjuzi.com/images/235f513bc42d4640446cd1ca08ad7e13.png,健身、体育运动、消费升级、大众健身、健身应用、减肥健身,现金流断裂、行业竞争
赤狐网络,2020-12-21,2014-04-01,赤狐网络是一家企业微信营销平台。该公司专注于以创新为核心的互联网及移动应用开发，针对微信公众账号进行技术开发和产品设计，整合客户关系管理系统、客服成本控制机制、品牌微网站、CRM系统等产品，助力企业的移动营销。,企业服务,上海,不明确,2456,https://cdn.itjuzi.com/images/60c0a1330e1f03f21ce36659c303db63.png,微信营销、CRM、企业服务、销售营销、开发商、互联网移动平台、通用型SaaS、销售与营销、企业营销,烧钱、行业竞争
大家视野,2020-12-17,2014-09-01,大家视野是一家游戏软件开发公司，致力于手机游戏的设计开发和推广。,游戏,北京,A+轮,2299,https://cdn.itjuzi.com/images/e514b36916ad27b469a8fb6855f2ff92.png,游戏开发商、游戏、手机游戏、咨询服务、营销推广、游戏/电竞、游戏开发者服务、游戏广告营销,烧钱、行业竞争
好耶广告,2020-12-11,2003-01-01,好耶广告是一家广告营销综合服务提供商，致力于提供品牌营销、效果营销、搜索引擎营销、内容营销、网站建设、电子商务代运营等全方位的服务。,广告营销,上海,已被收购,6554,https://cdn.itjuzi.com/images/b5c39f4a078162cfd40f84d1334767b8.jpg,展示广告、SEO/SEM、社会化营销、广告代理、广告营销、整合营销传播、广告平台、数字营销、网络营销、品牌营销、营销手段、整合营销、自媒体营销、内容营销,现金流断裂、转型问题、行业竞争、疫情影响
上蔬永辉,2020-12-08,2013-12-01,上蔬永辉于2013年12月20日由上海国盛集团、上海蔬菜集团、永辉超市、鼎晖投资和、摩根士丹利和上海兰韶共同出资设立。利用传统农贸菜场、新建菜场、商业中心、购物中心等作为发展网点，为用户提供蔬菜、水果、肉类、活鲜、家禽、干货等生鲜农产品，业务覆盖浦东新区、徐汇区、闵行区、嘉定区、虹口区等地区。,电子商务,上海,B轮,2564,https://cdn.itjuzi.com/images/78ddc1d0d91bbd5cdc593ac4db5e9dea.png,垂直电商、食品、大公司新产品、农业电商、电子商务、生鲜食品、连锁、连续获投、生鲜电商、零售业、吃,烧钱、行业竞争
众泰新能源汽车,2020-12-02,2011-03-01,众泰新能源汽车隶属于众泰汽车品牌旗下的新能源板块，主要从事新能源汽车的研发、生产、销售和服务。公司主要以纯电动汽车为主，同步研发混合动力汽车，此外公司还曾与国家电网等单位合作开启了分时租赁和众车纷享等运营模式，为中国纯电动汽车的发展提供了参考和借鉴。,汽车交通,浙江,尚未获投,3564,https://cdn.itjuzi.com/images/4902b9299565b2e6e9654abcfca6749b.png,电动车、汽车交通、新能源汽车、电动汽车、分时租赁、新能源车、新能源汽车制造、新车制造,业务调整、烧钱、行业竞争
东方百纳,2020-12-02,2014-11-01,东方百纳是一家关于品牌营销策划与整合设计的公司，主要为中国企业担纲品牌诊断、品牌定位、品类创新、营销策划、品牌设计、品牌文化、广告创意、产品推广、事件营销、公关活动等品牌与营销活动的整合策划、总体执行及后续传播。,企业服务,湖北,尚未获投,2223,https://cdn.itjuzi.com/images/a5dd3799c25e37f480c6d1f4c359aa96.png,设计及创意、精准营销、营销推广、品牌整合运营、销售与营销、企业营销,烧钱、行业竞争
柚子练琴,2020-11-30,2017-07-01,柚子练琴是真人视频1对1乐器陪练APP，隶属于北京柚子学琴信息技术有限公司。陪练教师均为专业音乐院校毕业，并通过严格的培训考核系统层层筛选才同您见面。,教育,北京,天使轮,1248,https://cdn.itjuzi.com/images/4807b1347ec38f705da749fd001e0114.png,直播、陪练、艺术教育、教育综合服务、音乐、一对一、艺术培训、在线学习、教育直播、泛教育、教育技术服务、在线直播一对一、技能培训,现金流断裂
窄播,2020-11-30,2012-01-01,窄播，音频版本的阅读器，将一整段资讯音频打碎成一条条碎片化的新闻，再给每一条新闻精细化的分领域、加标签，提供最新的资讯向用户推。隶属于上海同广文化传播有限公司,文娱传媒,上海,天使轮,3256,https://cdn.itjuzi.com/images/3682f68ada220ef09919d95a99b10671.png,阅读器、其他文娱服务、文化娱乐、新闻资讯、阅读与出版,政策监管
辰念网络,2020-11-27,2014-09-01,辰念网络是一个游戏开发商，由游戏运营高管发起，专注于做原创游戏，从游戏、市场和用户的角度出发，在游戏题材和核心玩法上都有创新，开发的游戏都有足够的挑战。,游戏,上海,尚未获投,2279,https://cdn.itjuzi.com/images/f5d3fc3deecc7d82494d161b95bce74a.png,游戏开发商、游戏发行及渠道、游戏开发、游戏/电竞、原创游戏,政策监管、法律法规风险
电信爱游戏,2020-11-16,2010-07-01,"""爱游戏""是中国电信基于手机、TV、PC等多种终端，为广大用户提供的融合性游戏业务，提供游戏试玩、付费下载、互动交流、资讯及会员服务等多种游戏产品功能，满足用户随时随地与亲朋好友共享欢乐游戏，分享快乐人生的需求。",游戏,江苏,尚未获投,3791,https://cdn.itjuzi.com/images/da6e775970a8abae5cc292ab4de19b4b.png,休闲娱乐、下载工具、交流平台、游戏/电竞,烧钱、行业竞争
刚刚新闻,2020-11-04,1994-01-01,“刚刚新闻”APP客户端是吴江区广播电视台旗下全新打造的融媒体新闻客户端。刚刚新闻以视频、新闻、直播、图片、文字、互动等形式建设城市的移动窗口，构建全媒体服务的综合，为用户提供的新闻视频资讯。,文娱传媒,江苏,尚未获投,9804,https://cdn.itjuzi.com/images/5843267ca1197338c62b55199ccaa910.png,综合视频网站,烧钱、行业竞争
长江汽车,2020-11-03,1996-06-01,长江汽车是一家专业致力于新能源电动汽车研发、制造、销售和售后维保服务核心产业链的大型现代化制造企业。,汽车交通,浙江,尚未获投,8921,https://cdn.itjuzi.com/images/e60deee0de79d5a2cc626dbc917e6a14.png,汽车交通、汽车电商、汽车制造、新能源汽车、电动汽车、行,烧钱、现金流断裂
贝思客,2020-11-01,2011-07-01,贝思客是一家互联网蛋糕品牌，专注于提供各类蛋糕、甜点。产品分为浓情芝士、松露巧克力、缤纷果味、吉致星座等系列。同时为用户提供当天配送、货到付款、72小时无理由退货等服务。,本地生活,上海,新三板,3411,https://cdn.itjuzi.com/images/f0b41c8b658433150733367742b000db.png,本地生活、同城配送、生活服务、连续获投、甜品糕点、烘焙食品、吃、食品饮料,疫情影响
速告科技,2020-10-26,2015-08-01,速告科技是一家技术研发公司，该公司致力于互联网广告软件开发及应用为一体的技术研发，主要经营业务包括以软件开发，大数据分析处理，云计算处理为核心的新it。,企业服务,北京,不明确,1913,https://cdn.itjuzi.com/images/2e9fb241b188d3d2ce4de34d8cc28c0f.png,云计算、解决方案、企业服务、其他企业服务、B2D开发者服务、数据分析、技术研发、云服务、大数据技术、大数据服务,烧钱、行业竞争
星环影梦,2020-10-26,2015-07-01,星环影梦是一家以艺人经纪、唱片制作推广、影视、节目制作发行、品牌策划、无线增值为主的综合性专业文化传媒企业，隶属于北京星环影梦文化传媒中心。,文娱传媒,北京,尚未获投,1944,https://cdn.itjuzi.com/images/43b56f4dc4407e034465f27bc9587113.png,影视、文化娱乐、艺人网红、影视制作、艺人经纪、影视发行、唱片公司,烧钱、营销不足、行业竞争
博睿森,2020-10-26,2014-12-01,博睿森是一家仪器设备的代理商和营销商，致力于为中国从事进口仪器设备以及进口工业零部件的代理商提供全面的产品，专业的服务以及低廉的价格，推动国内的仪器生产商的进步，让更多中国的仪器销售到欧美国家。,电子商务,北京,不明确,2156,https://cdn.itjuzi.com/images/2ca0e9d166d4fde1355856cbe7fb2e37.png,海外市场、实验仪器、电子商务、大宗商品、进口电商、大宗商品贸易B2B,烧钱、行业竞争
易果生鲜,2020-10-21,2007-02-01,易果生鲜致力于向注重生活品质的都市中高端家庭提供精品生鲜食材。公司经营的“易果生鲜，全球精选”电商网站旗下经营水果、蔬菜、水产、肉类、禽蛋、食品饮料、甜点、酒类、礼品礼券8大品类共3200种产品，以“常温、冰鲜、冻鲜、活鲜”4种形式，全程冷链运输，全年无休鲜活配送。,电子商务,上海,D轮,5011,https://cdn.itjuzi.com/images/c275b2a49cd66c2c7ffdf07ed6d20aab.png,水果、生鲜、垂直电商、B2C、农业、农业电商、电子商务、生鲜食品、消费升级、酒水饮料、冷链物流、渔业、农作物、消费生活、生鲜配送、果蔬配送、蔬菜水果、连续获投、电商经营模式、水果B2B、生鲜电商、饰品礼物、穿、吃、精致生活、品质生鲜,烧钱、现金流断裂、行业竞争、疫情影响
爱钱进,2020-10-21,2014-03-01,爱钱进是一个P2P借贷和理财、互联网金融服务网站，爱钱进（北京）信息科技有限公司旗下（普惠金融子公司）。,金融,北京,A轮,2426,https://cdn.itjuzi.com/images/archive/12872.png,P2P借贷、金融、理财、借贷、理财平台、借贷平台,政策监管、法律法规风险
优胜教育,2020-10-19,2004-03-01,优胜教育是一家综合性教育培训企业，旗下涵盖针对6-18岁人群的个性化教育培训项目“优胜1对1”、素质教育培训项目“优胜派”以及家庭教育培训项目“优胜家”等。公司专注于提升中小学学生学习成绩，改善学习方法，培养学习能力，以及自主学习社区的建设。,教育,北京,D轮,6076,https://cdn.itjuzi.com/images/83512cb0f9202327d77f7aea3bb09cb9.png,O2O、平台、教育、教育综合服务、移动互联网教育、素质教育、企业培训、家庭教育、K12、一对一、中小学教育、泛教育,现金流断裂、疫情影响
云享原作版画,2020-10-13,2014-06-01,云享原作版画是一家艺术品电商，致力于将最好的大师作品，普及到大众市场，帮助每个家庭接触艺术。,电子商务,北京,尚未获投,2326,https://cdn.itjuzi.com/images/6e5cdd3ac4e7a0a2fc9871b2f2e09d31.jpg,垂直电商、艺术电商、电子商务、图书影音、其他电商服务,政策监管、行业竞争
猪兼强,2020-10-12,2014-09-01,猪兼强是一个驾考培训O2O平台，学员使用该平台，可以在网络上查询到产品介绍、免费试驾预约等，而在学车期间，学员可通过微信或是App应用来进行训练预约，以及对教练员进行评分等。,汽车交通,广东,B轮,2233,https://cdn.itjuzi.com/images/893ce1468ac1d99a53fa77523b1e78a1.png,驾照驾校、O2O、平台、汽车交通、车主服务、车主工具及服务、驾考培训、试驾、行,创始人问题、烧钱、现金流断裂、定价/成本问题、行业竞争、疫情影响
Paires友舍网络,2020-10-01,2015-10-01,Paires友舍网络是一家社交租房服务平台，致力于匹配靠谱、合适的年轻人，并提供筛选过的高质量高性价比房间，让中短租，迁移变得简单、高效而充满乐趣。,房产服务,北京,天使轮,1827,https://cdn.itjuzi.com/images/c25e2b3d667b4143fa66f51db554523e.jpg,长租、O2O、撮合经济、房产服务、租房、房产家居、房屋租赁、长租公寓、房产交易、住、共享租房,烧钱、现金流断裂、疫情影响
掌上e店,2020-09-29,2013-01-01,武汉点商无线专注于移动互联网电子商务行业，旗下产品有掌上e店，帮助淘宝卖家快速制作手机店铺。,电子商务,湖北,尚未获投,2828,https://cdn.itjuzi.com/images/archive/916.jpg,开发工具、解决方案、电子商务、3C电子、电商解决方案,业务过于分散、行业竞争
长安财富,2020-09-25,2016-06-01,长安财富APP是一款集成期货资讯、行情、交易、开户、客服为一体的移动终端智能应用系统，一款实用的金融理财软件，为您提供一个全面的理财通道！轻松掌握期货市场的新动态。,金融,河北,尚未获投,1577,https://cdn.itjuzi.com/images/95472f79ef1e9047c48df892211c07ae.png,金融设备、金融衍生品、金融、理财、期货、理财平台、证券、投资理财、智能金融,烧钱、行业竞争
安邦保险,2020-09-14,2004-10-01,安邦保险是一家综合金融服务提供商，以保险业务为核心，提供保险咨询、保险产品、保险代理、保险经纪等服务，涵盖多个险种，并且搭建了P2P平台，提供理财咨询、资产管理、金融租赁等服务。,金融,北京,战略投资,5827,https://cdn.itjuzi.com/images/74d7358bdb8d49670449dd9dc0d56b59.png,金融、保险、资产管理、理财平台、金融机构、保险服务平台,政策监管、法律法规风险
寰德咨询,2020-09-07,2015-01-01,寰德咨询是一家专注于行业咨询的公司，通过人才中介服务、市场调查以及大数据处理等，为企业和用户提供基础软件服务、企业管理咨询、企业策划咨询以及经济贸易咨询等，同时还为企业提供技术推广服务、会议服务和承办展览展示等服务。,企业服务,北京,不明确,2076,https://cdn.itjuzi.com/images/14226f2783e8b08babffd6f8ab2dceaf.png,会议会务、大数据、销售营销、咨询服务、大数据营销、中介、企业通用服务、大数据服务、销售与营销,烧钱、行业竞争
执力天下,2020-09-07,2015-05-01,执力天下是一家立足服务于“五金、家居维修、安全”的企业。开发了工程机械配件封闭式电子商务平台，实现了将国内传统的工程机械配件采购及贸易活动转变成一个新型B2B、O2O电子商务模式。该模式借助强大的分销能力形成的集中订单流，为卖买三方提供智能云仓储和现代化物流配送服务。,电子商务,北京,不明确,1956,https://cdn.itjuzi.com/images/3cb530da8b9f79199f236028c9f155d4.png,垂直电商、O2O、B2B、分销、电子商务、综合电商、机械配件、综合性电商、电商经营模式、综合B2B、零售/新零售、批发业、智慧物流,烧钱、行业竞争
Awok,2020-09-03,2013-04-01,Awok 起步于 3C 品类，目前业务覆盖了阿联酋和沙特两个市场，定位为平价电商，目标客户群体为外来劳工和看重性价比的家庭主妇，提供平价的时尚配饰、厨具、电子以及美容等 30 万种产品，主要商品来源为中国。,电子商务,亚洲,A轮,2712,https://cdn.itjuzi.com/images/26249d096d41f6082a12ffcab5908be1.png,美业、电子商务、服装服饰、3C电子、家居家纺、穿,创始人问题、烧钱、现金流断裂、行业竞争
